,Q00.,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,HW1.html,HW1.ipynb,HW02.html,HW02.ipynb,HW03.html,HW03.ipynb,HW04.html,HW04.ipynb,HW05.html,HW05.ipynb,MidtermExam,FinalExam,Proposal,Presentation,PresentationFeedback27april,PresentationFeedback2may,Report,ReportPeerFeedback,Percentage,Rank,Percentile,percentageGrade,percentileGrade,Grade
1,4,7,5,12,16,14,10,3,4,17,3,16,3,17,3,17,3,17,3,100,73,7,26.9,2,2,9,4,99.48,71,98.6,A,A,A
2,4,7,5,12,16,14,10,3,4,17,3,17,3,17,3,17,3,17,3,100,69,7,23.6,2,2,9,4,97.9,70,97.2,A,A,A
3,4,7,5,12,16,14,10,3,4,16,3,16.5,3,17,3,17,3,15,3,97,75,7,23.91,2,2,9,4,97.85,69,95.8,A,A,A
4,4,7,5,12,16,14,10,3,4,17,3,17,3,17,3,17,3,17,3,98,69,7,24.46,2,2,9,4,97.62,68,94.4,A,A,A
5,4,7,5,12,16,14,10,3,4,17,3,17,3,17,3,17,3,15,3,96,73,7,23.91,2,2,9,4,97.48,67,93,A,A,A
6,4,7,5,12,16,14,10,3,4,17,3,17,3,17,3,17,3,17,3,98,67,7,23.6,2,2,9,4,96.9,66,91.5,A,A,A
7,4,7,5,12,16,14,10,3,4,17,3,17,3,17,3,17,3,17,3,95,66,7,27,2,2,9,4,96.75,64,88.7,A,A,A
8,4,7,5,12,16,14,10,3,4,17,3,17,3,17,3,17,3,16,3,97,71,7,21,2,2,9,4,96.75,64,88.7,A,A,A
9,4,7,5,12,16,14,10,0,4,17,3,17,3,13,3,17,3,16,3,94,73,7,26.74,2,2,9.5,4,96.31,63,87.3,A,A,A
10,4,7,5,12,16,14,10,3,4,17,3,17,3,17,3,17,3,17,3,95,67,7,23.6,2,2,9,4,96.15,62,85.9,A,A,A
11,4,7,5,12,16,14,10,3,4,17,3,17,3,17,3,17,3,17,3,97,61,7,26.9,2,2,9,4,95.98,61,84.5,A,A,A
12,4,7,5,12,16,14,10,3,4,17,3,17,3,17,3,16,3,17,3,95,65,7,24.12,2,2,9.5,4,95.66,60,83.1,A,A,A
13,4,7,5,12,16,14,10,3,4,17,3,17,3,17,3,17,3,17,3,95,61,7,26.9,2,2,9,4,95.48,59,81.7,A,A,A
14,4,7,5,12,16,14,10,3,4,17,3,12.75,2.25,17,3,17,3,17,3,97,63,7,26.9,2,2,9,4,95.23,58,80.3,A,A,A
15,4,7,5,12,16,14,10,3,4,17,3,17,3,17,3,17,3,16,3,94,67,7,21,2,2,9,4,95,57,78.9,A,A,A
16,4,7,5,12,16,14,10,3,4,17,3,17,3,16,3,17,3,17,3,97,61,7,23.91,2,2,9,4,94.98,56,77.5,A,A,A
17,4,7,5,12,16,14,10,3,4,17,3,17,3,17,3,17,3,17,3,92,65,7,23.6,2,2,9,4,94.9,55,76.1,A,A,A
18,4,7,5,12,16,14,10,3,4,17,3,17,3,17,3,17,3,17,3,92,63,7,23.98,2,2,9,4,94.5,54,74.6,A,A,A
19,4,7,5,12,16,14,10,3,4,17,3,15,3,17,3,17,3,17,3,88,69,7,23.32,2,2,9,4,94.33,53,73.2,A,A,A
20,4,7,5,12,16,14,10,3,4,17,3,16,3,16.5,3,16,3,17,3,96,59,7,23.6,2,2,9,4,93.78,52,71.8,A,A,A
21,4,7,5,12,16,14,10,3,4,17,3,17,3,17,3,17,3,17,3,90,61,7,24.12,2,2,9.5,4,93.66,51,70.4,A,A,A
22,4,7,5,12,16,14,10,3,4,17,3,17,3,17,3,17,3,17,3,83,65,7,27,2,2,9,4,93.5,50,69,A,A,A
